Time,Distance
69.7,154.74
69.76666667,155.36
69.8,153.39
69.83333333,153.57
69.86666667,153.39
69.9,154.74
69.93333333,153.39
70.4,155.91
70.6,161.07
70.63333333,158.62
70.66666667,159.11
70.7,158.14
70.73333333,156.95
70.76666667,156.18
70.8,159.53
71.03333333,148.96
71.06666667,148.96
71.1,149.91
71.13333333,147.71
71.16666667,147.41
71.2,148.66
71.23333333,147.8
71.26666667,149.72
71.3,146.45
71.33333333,145.8
71.36666667,143.29
71.4,142.05
71.43333333,142.05
71.46666667,140.43
71.5,140.43
71.53333333,141.38
71.56666667,141.38
71.6,142.34
71.63333333,142.05
71.66666667,142.64
71.7,143.29
71.73333333,142.05
71.76666667,143.29
71.8,143.29
71.83333333,143.29
71.86666667,143.68
71.9,143.68
71.93333333,142.72
71.96666667,144.37
72,144.1
72.03333333,143.84
72.06666667,144.1
72.1,143.84
72.33333333,141.89
72.36666667,142.86
72.4,142.86
72.43333333,141.22
72.46666667,142.41
72.5,142.2
72.53333333,142.41
72.56666667,144.16
72.6,144.37
72.63333333,143.61
72.66666667,143.84
72.7,143.61
72.73333333,144.59
72.76666667,144.59
72.8,145.78
72.83333333,145.78
72.86666667,144.81
72.9,143.61
72.93333333,144.81
72.96666667,144.37
73,144.59
73.03333333,143.84
73.4,138
73.43333333,139.01
73.46666667,138.01
73.5,139.01
73.53333333,138.01
73.56666667,139.03
73.6,139.03
73.63333333,141.06
73.66666667,140.09
73.7,142.09
73.73333333,143.17
73.76666667,144.12
73.8,144.17
73.83333333,145.17
73.86666667,145.09
73.9,145.12
73.93333333,145.09
73.96666667,146.09
74,147.09
74.03333333,147.09
74.06666667,148.05
74.1,147.09
74.13333333,147.09
74.16666667,146.09
74.2,146.05
74.23333333,146.05
74.26666667,147.03
74.3,146.09
74.33333333,146.05
74.36666667,146.09
74.4,147.05
74.43333333,146.05
74.46666667,144.09
74.5,144.06
74.6,148.01
74.63333333,148
74.66666667,148.03
74.7,151.05
74.73333333,151.12
74.76666667,150.03
74.8,150.03
74.83333333,150.03
74.86666667,149.05
74.9,148.03
74.93333333,152.08
74.96666667,156.16
75,153.26
75.03333333,153.33
75.06666667,155.26
75.1,154.32
75.13333333,154.26
75.16666667,154.16
75.2,154.12
75.23333333,156.12
75.26666667,155.12
75.3,155.21
75.33333333,155.16
75.36666667,155.26
75.4,157.32
75.43333333,157.32
75.46666667,155.82
75.5,154.57
75.53333333,153.06
75.56666667,147.8
75.7,128.89
75.73333333,127.1
75.76666667,126.59
75.8,126.44
75.83333333,124.31
75.86666667,125.3
75.9,127.28
75.93333333,126.89
75.96666667,129.56
76,134.45
76.03333333,136.62
76.06666667,137.62
76.1,138.81
76.13333333,138.44
76.16666667,137.3
76.2,137.3
76.23333333,136.3
76.26666667,135.3
76.3,134.24
76.33333333,134.24
76.36666667,132.24
76.4,131.38
76.43333333,132.38
76.46666667,132.38
76.5,130.46
76.53333333,130.55
76.56666667,130.55
76.6,130.65
76.63333333,131.75
76.66666667,133.73
76.7,131.97
76.73333333,134.84
76.76666667,135.07
76.8,135.83
76.83333333,137.71
76.86666667,136.44
76.9,137.52
76.93333333,136.62
76.96666667,135.53
77,136.44
77.03333333,135.53
77.06666667,133.45
77.1,135.45
77.13333333,135.37
77.16666667,135.3
77.2,134.45
77.23333333,133.63
77.26666667,134.45
77.3,133.63
77.33333333,132.54
77.36666667,132.64
77.4,134.45
77.43333333,135.83
77.46666667,136.53
77.5,138.36
77.53333333,141.23
77.56666667,142.23
77.6,143.28
77.63333333,142.23
78,160.64
78.03333333,157.09
78.06666667,155.91
78.1,155.72
78.13333333,151.33
78.16666667,149.48
78.26666667,149.03
79.56666667,154.21
79.6,154.56
79.63333333,154.38
79.66666667,152.9
79.7,152.74
79.73333333,153.58
79.76666667,153.58
79.83333333,152.45
79.86666667,152.45
79.9,153.31
79.93333333,153.31
79.96666667,154.3
80,155.43
80.03333333,156.7
80.06666667,156.55
80.1,157.54
80.13333333,158.4
80.16666667,159.26
80.2,159.26
80.23333333,159.14
80.26666667,159.14
80.3,160.51
80.33333333,160.51
80.36666667,159.81
80.4,162.1
80.43333333,161.28
80.5,157.04
80.83333333,139.81
80.86666667,141.51
80.9,142.23
80.96666667,143.17
81,145.34
81.03333333,146.22
81.16666667,145.09
81.2,145.09
81.23333333,144.09
81.4,136.72
81.66666667,142.06
81.7,141.09
81.73333333,144
82,156.16
82.03333333,155.17
82.06666667,154.18
82.1,155.05
82.13333333,154.06
82.16666667,154.18
82.2,155.05
82.23333333,152.74
82.36666667,155.63
82.4,151.74
82.43333333,151.95
82.46666667,158.4
82.63333333,158.03
82.66666667,154.12
82.7,152.27
82.73333333,149.12
82.76666667,148.03
82.8,148.03
82.83333333,145.58
82.86666667,148.1
